NAME,Population,FIPS
"Gilpin County, Colorado",5924,08047
"Grand County, Colorado",15066,08049
"Gunnison County, Colorado",16537,08051
"Huerfano County, Colorado",6583,08055
"Jefferson County, Colorado",570427,08059
"Kit Carson County, Colorado",7635,08063
"Lake County, Colorado",7585,08065
"La Plata County, Colorado",55101,08067
"Larimer County, Colorado",338161,08069
"Las Animas County, Colorado",14179,08071
"Lincoln County, Colorado",5548,08073
"Logan County, Colorado",21689,08075
"Mesa County, Colorado",149998,08077
"Moffat County, Colorado",13060,08081
"Montezuma County, Colorado",25909,08083
"Montrose County, Colorado",41268,08085
"Morgan County, Colorado",28257,08087
"Otero County, Colorado",18325,08089
"Ouray County, Colorado",4722,08091
"Park County, Colorado",17392,08093
"Phillips County, Colorado",4318,08095
"Pitkin County, Colorado",17909,08097
"Prowers County, Colorado",12052,08099
"Pueblo County, Colorado",164685,08101
"Rio Blanco County, Colorado",6465,08103
"Rio Grande County, Colorado",11351,08105
"Routt County, Colorado",24874,08107
"Saguache County, Colorado",6468,08109
"San Miguel County, Colorado",7968,08113
"Sedgwick County, Colorado",2350,08115
"Summit County, Colorado",30429,08117
"Teller County, Colorado",24113,08119
"Washington County, Colorado",4840,08121
"Weld County, Colorado",295123,08123
"Yuma County, Colorado",10069,08125
"Fairfield County, Connecticut",944348,09001
"Hartford County, Connecticut",894730,09003
"Litchfield County, Connecticut",183031,09005
"Middlesex County, Connecticut",163368,09007
"New Haven County, Connecticut",859339,09009
"New London County, Connecticut",268881,09011
"Tolland County, Connecticut",151269,09013
"Windham County, Connecticut",116538,09015
"Kent County, Delaware",174822,10001
"New Castle County, Delaware",555133,10003
"Sussex County, Delaware",219540,10005
"District of Columbia, District of Columbia",684498,11001
"Alachua County, Florida",263148,12001
"Baker County, Florida",27785,12003
"Bay County, Florida",182482,12005
"Bradford County, Florida",26979,12007
"Brevard County, Florida",576808,12009
"Broward County, Florida",1909151,12011
"Calhoun County, Florida",14444,12013
"Charlotte County, Florida",176954,12015
"Citrus County, Florida",143087,12017
"Clay County, Florida",207291,12019
"Collier County, Florida",363922,12021
"Columbia County, Florida",69105,12023
"DeSoto County, Florida",36399,12027
"Dixie County, Florida",16437,12029
"Duval County, Florida",924229,12031
"Escambia County, Florida",311522,12033
"Flagler County, Florida",107139,12035
"Franklin County, Florida",11736,12037
"Gadsden County, Florida",46017,12039
"Gilchrist County, Florida",17615,12041
"Glades County, Florida",13363,12043
"Gulf County, Florida",16055,12045
"Hamilton County, Florida",14269,12047
"Hardee County, Florida",27228,12049
"Hendry County, Florida",40127,12051
"Hernando County, Florida",182696,12053
"Highlands County, Florida",102101,12055
"Hillsborough County, Florida",1378883,12057
"Holmes County, Florida",19430,12059
"Indian River County, Florida",150984,12061
"Jackson County, Florida",48472,12063
"Jefferson County, Florida",14105,12065
"Lafayette County, Florida",8744,12067
"Lake County, Florida",335362,12069
"Lee County, Florida",718679,12071
"Leon County, Florida",288102,12073
"Levy County, Florida",39961,12075
"Liberty County, Florida",8365,12077
"Madison County, Florida",18474,12079
"Manatee County, Florida",373853,12081
"Marion County, Florida",348371,12083
"Martin County, Florida",157581,12085
"Miami-Dade County, Florida",2715516,12086
"Monroe County, Florida",76325,12087
"Nassau County, Florida",80578,12089
"Okaloosa County, Florida",200737,12091
"Okeechobee County, Florida",40572,12093
"Orange County, Florida",1321194,12095
"Osceola County, Florida",338619,12097
"Palm Beach County, Florida",1446277,12099
"Pasco County, Florida",510593,12101
"Pinellas County, Florida",957875,12103
"Polk County, Florida",668671,12105
"Putnam County, Florida",72766,12107
"St. Johns County, Florida",235503,12109
"St. Lucie County, Florida",305591,12111
"Santa Rosa County, Florida",170442,12113
"Sarasota County, Florida",412144,12115
"Seminole County, Florida",455086,12117
"Sumter County, Florida",120999,12119
"Suwannee County, Florida",43924,12121
"Taylor County, Florida",22098,12123
"Union County, Florida",15239,12125
"Volusia County, Florida",527634,12127
"Wakulla County, Florida",31877,12129
"Walton County, Florida",65858,12131
"Washington County, Florida",24566,12133
"Appling County, Georgia",18454,13001
"Atkinson County, Georgia",8265,13003
"Bacon County, Georgia",11228,13005
"Baker County, Georgia",3189,13007
"Baldwin County, Georgia",45286,13009
"Banks County, Georgia",18510,13011
"Barrow County, Georgia",76887,13013
"Bartow County, Georgia",103620,13015
"Ben Hill County, Georgia",17154,13017
"Berrien County, Georgia",19025,13019
"Bibb County, Georgia",153490,13021
"Bleckley County, Georgia",12775,13023
"Brantley County, Georgia",18561,13025
"Brooks County, Georgia",15622,13027
"Bryan County, Georgia",35885,13029
"Bulloch County, Georgia",74782,13031
"Burke County, Georgia",22550,13033
"Butts County, Georgia",23750,13035
"Calhoun County, Georgia",6428,13037
"Camden County, Georgia",52714,13039
"Candler County, Georgia",10827,13043
"Carroll County, Georgia",116022,13045
"Catoosa County, Georgia",66299,13047
"Charlton County, Georgia",12983,13049
"Chatham County, Georgia",287049,13051
"Chattahoochee County, Georgia",10767,13053
"Chattooga County, Georgia",24817,13055
"Cherokee County, Georgia",241910,13057
"Clarke County, Georgia",124602,13059
"Clay County, Georgia",3001,13061
"Clayton County, Georgia",278666,13063
"Clinch County, Georgia",6743,13065
"Cobb County, Georgia",745057,13067
"Coffee County, Georgia",42961,13069
"Colquitt County, Georgia",45606,13071
